,title,geo_accession,status,submission_date,last_update_date,type,channel_count,source_name_ch1,organism_ch1,taxid_ch1,characteristics_ch1,growth_protocol_ch1,molecule_ch1,extract_protocol_ch1,description,data_processing,platform_id,contact_name,contact_email,contact_laboratory,contact_department,contact_institute,contact_address,contact_city,contact_state,contact_zip/postal_code,contact_country,instrument_model,library_selection,library_source,library_strategy,relation,supplementary_file_1,series_id,data_row_count,Assay Type,BioProject,BioSample,Cell_type,Center Name,Consent,Experiment,GEO_Accession (exp),Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Patient,Platform,Sample Name,source_name,SRA Study,Mouse_ID,treatment,cell_status,library,read_length,read_length_description,tumor_abbreviation,tumor_name,source,tumor_subtype,pooled_or_single,group_assign,leiden,Melanocyte,Hepatocyte,Epithelial cell,Fibroblast,Endothelial cell,B/Plasma cell,T/NK cell,Macro/Mono/DC,Oligodendrocyte,Neuron,Astrocyte,HSC,cell_type,confidence,donor,cell_label
SRR3654926,single-cell RNA-seq M3022-23 treated mrd14,GSM2195113,Public on Dec 06 2016,Jun 09 2016,May 15 2019,SRA,1,PDX Sample ALL-199,Homo sapiens,9606,patient: BCP-ALL pediatric__mouse id: NOD scid gamma__cell type: PDX cell__treatment: VCR & Cyclo treatment,human patient cells are grown as patient-derived xenograft cells in immunodeficient NOD scid gamma mice and re-isolated from bone marrow,total RNA,"cDNA synthesis protocol: cells were loaded on the 10-17 μm mRNA-seq IFC (Fluidigm) with ERCC spike-in controls. Cell lysis, reverse transcription and pre-amplification of cDNA was done on-chip using the SMARTer Ultra Low RNA Kit for C1 (Clontech).__0.2-1 ng of pre-amplified cDNA was used as input for tagmentation by the Nextera XT Sample Preparation Kit (Illumina), where amplification was performed for 12-14 PCR cycles.__Cells were isolated from the murine bone marrow, enriched by a MACS step and sorted for the population of interest. All steps were performed at 4°C.",mrd14__processed data file: ALL199_MRD_counts.txt,"Sequencing reads were demultiplexed from the Nextera (i5 and i7) indices using deML (Renaud 2014, Bioinformatics)__Demultiplexed reads were aligned to the human genome (hg19) and ERCC reference using NextGenMap (Sedlazeck et al., 2013)__Count data was generated from mapped reads using featureCounts (Liao et al., 2014) on ENSEMBL gene models (GRCh38.74)__Genome_build: hg19__Supplementary_files_format_and_content: [.txt] processed data files are text files with count data, where columns equal to samples and rows equal to genes",GPL18460,"Christoph,,Ziegenhain",ziegenhain@bio.lmu.de,Anthropology & Human genomics,Department Biology II,Ludwig-Maximilians University Munich,Großhaderner Str. 2,Martinsried,Bavaria,82152,Germany,Illumina HiSeq 1500,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN05220154__SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX1835248,NONE,GSE83142,0,RNA-Seq,PRJNA325123,SAMN05220154,PDX cell,GEO,public,SRX1835248,GSM2195113,Illumina HiSeq 1500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,BCP-ALL pediatric,ILLUMINA,GSM2195113,PDX Sample ALL-199,SRP076334,NOD scid gamma,VCR & Cyclo treatment,NA,single-end,51,51 bp,ALL,Acute lymphoblastic leukemia,PDX,BCP-ALL pediatric,Single-cell,NA,3,0,0,0,0,0,1,1,0,0,0,0,1,B/Plasma cell,Clear,BCP-ALL pediatric,Malignant cell
SRR3654927,single-cell RNA-seq M3022-23 treated mrd15,GSM2195115,Public on Dec 06 2016,Jun 09 2016,May 15 2019,SRA,1,PDX Sample ALL-199,Homo sapiens,9606,patient: BCP-ALL pediatric__mouse id: NOD scid gamma__cell type: PDX cell__treatment: VCR & Cyclo treatment,human patient cells are grown as patient-derived xenograft cells in immunodeficient NOD scid gamma mice and re-isolated from bone marrow,total RNA,"cDNA synthesis protocol: cells were loaded on the 10-17 μm mRNA-seq IFC (Fluidigm) with ERCC spike-in controls. Cell lysis, reverse transcription and pre-amplification of cDNA was done on-chip using the SMARTer Ultra Low RNA Kit for C1 (Clontech).__0.2-1 ng of pre-amplified cDNA was used as input for tagmentation by the Nextera XT Sample Preparation Kit (Illumina), where amplification was performed for 12-14 PCR cycles.__Cells were isolated from the murine bone marrow, enriched by a MACS step and sorted for the population of interest. All steps were performed at 4°C.",mrd15__processed data file: ALL199_MRD_counts.txt,"Sequencing reads were demultiplexed from the Nextera (i5 and i7) indices using deML (Renaud 2014, Bioinformatics)__Demultiplexed reads were aligned to the human genome (hg19) and ERCC reference using NextGenMap (Sedlazeck et al., 2013)__Count data was generated from mapped reads using featureCounts (Liao et al., 2014) on ENSEMBL gene models (GRCh38.74)__Genome_build: hg19__Supplementary_files_format_and_content: [.txt] processed data files are text files with count data, where columns equal to samples and rows equal to genes",GPL18460,"Christoph,,Ziegenhain",ziegenhain@bio.lmu.de,Anthropology & Human genomics,Department Biology II,Ludwig-Maximilians University Munich,Großhaderner Str. 2,Martinsried,Bavaria,82152,Germany,Illumina HiSeq 1500,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN05220155__SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX1835249,NONE,GSE83142,0,RNA-Seq,PRJNA325123,SAMN05220155,PDX cell,GEO,public,SRX1835249,GSM2195115,Illumina HiSeq 1500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,BCP-ALL pediatric,ILLUMINA,GSM2195115,PDX Sample ALL-199,SRP076334,NOD scid gamma,VCR & Cyclo treatment,NA,single-end,51,51 bp,ALL,Acute lymphoblastic leukemia,PDX,BCP-ALL pediatric,Single-cell,NA,5,0,0,0,0,0,1,0,0,0,0,0,0,B/Plasma cell,Undecided,BCP-ALL pediatric,Malignant cell
SRR3654928,single-cell RNA-seq M3022-23 treated mrd16,GSM2195117,Public on Dec 06 2016,Jun 09 2016,May 15 2019,SRA,1,PDX Sample ALL-199,Homo sapiens,9606,patient: BCP-ALL pediatric__mouse id: NOD scid gamma__cell type: PDX cell__treatment: VCR & Cyclo treatment,human patient cells are grown as patient-derived xenograft cells in immunodeficient NOD scid gamma mice and re-isolated from bone marrow,total RNA,"cDNA synthesis protocol: cells were loaded on the 10-17 μm mRNA-seq IFC (Fluidigm) with ERCC spike-in controls. Cell lysis, reverse transcription and pre-amplification of cDNA was done on-chip using the SMARTer Ultra Low RNA Kit for C1 (Clontech).__0.2-1 ng of pre-amplified cDNA was used as input for tagmentation by the Nextera XT Sample Preparation Kit (Illumina), where amplification was performed for 12-14 PCR cycles.__Cells were isolated from the murine bone marrow, enriched by a MACS step and sorted for the population of interest. All steps were performed at 4°C.",mrd16__processed data file: ALL199_MRD_counts.txt,"Sequencing reads were demultiplexed from the Nextera (i5 and i7) indices using deML (Renaud 2014, Bioinformatics)__Demultiplexed reads were aligned to the human genome (hg19) and ERCC reference using NextGenMap (Sedlazeck et al., 2013)__Count data was generated from mapped reads using featureCounts (Liao et al., 2014) on ENSEMBL gene models (GRCh38.74)__Genome_build: hg19__Supplementary_files_format_and_content: [.txt] processed data files are text files with count data, where columns equal to samples and rows equal to genes",GPL18460,"Christoph,,Ziegenhain",ziegenhain@bio.lmu.de,Anthropology & Human genomics,Department Biology II,Ludwig-Maximilians University Munich,Großhaderner Str. 2,Martinsried,Bavaria,82152,Germany,Illumina HiSeq 1500,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN05220156__SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX1835250,NONE,GSE83142,0,RNA-Seq,PRJNA325123,SAMN05220156,PDX cell,GEO,public,SRX1835250,GSM2195117,Illumina HiSeq 1500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,BCP-ALL pediatric,ILLUMINA,GSM2195117,PDX Sample ALL-199,SRP076334,NOD scid gamma,VCR & Cyclo treatment,NA,single-end,51,51 bp,ALL,Acute lymphoblastic leukemia,PDX,BCP-ALL pediatric,Single-cell,NA,5,0,0,0,0,0,1,1,0,0,0,0,0,B/Plasma cell,Undecided,BCP-ALL pediatric,Malignant cell
SRR3654929,single-cell RNA-seq M3022-23 treated mrd17,GSM2195118,Public on Dec 06 2016,Jun 09 2016,May 15 2019,SRA,1,PDX Sample ALL-199,Homo sapiens,9606,patient: BCP-ALL pediatric__mouse id: NOD scid gamma__cell type: PDX cell__treatment: VCR & Cyclo treatment,human patient cells are grown as patient-derived xenograft cells in immunodeficient NOD scid gamma mice and re-isolated from bone marrow,total RNA,"cDNA synthesis protocol: cells were loaded on the 10-17 μm mRNA-seq IFC (Fluidigm) with ERCC spike-in controls. Cell lysis, reverse transcription and pre-amplification of cDNA was done on-chip using the SMARTer Ultra Low RNA Kit for C1 (Clontech).__0.2-1 ng of pre-amplified cDNA was used as input for tagmentation by the Nextera XT Sample Preparation Kit (Illumina), where amplification was performed for 12-14 PCR cycles.__Cells were isolated from the murine bone marrow, enriched by a MACS step and sorted for the population of interest. All steps were performed at 4°C.",mrd17__processed data file: ALL199_MRD_counts.txt,"Sequencing reads were demultiplexed from the Nextera (i5 and i7) indices using deML (Renaud 2014, Bioinformatics)__Demultiplexed reads were aligned to the human genome (hg19) and ERCC reference using NextGenMap (Sedlazeck et al., 2013)__Count data was generated from mapped reads using featureCounts (Liao et al., 2014) on ENSEMBL gene models (GRCh38.74)__Genome_build: hg19__Supplementary_files_format_and_content: [.txt] processed data files are text files with count data, where columns equal to samples and rows equal to genes",GPL18460,"Christoph,,Ziegenhain",ziegenhain@bio.lmu.de,Anthropology & Human genomics,Department Biology II,Ludwig-Maximilians University Munich,Großhaderner Str. 2,Martinsried,Bavaria,82152,Germany,Illumina HiSeq 1500,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN05220157__SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX1835251,NONE,GSE83142,0,RNA-Seq,PRJNA325123,SAMN05220157,PDX cell,GEO,public,SRX1835251,GSM2195118,Illumina HiSeq 1500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,BCP-ALL pediatric,ILLUMINA,GSM2195118,PDX Sample ALL-199,SRP076334,NOD scid gamma,VCR & Cyclo treatment,NA,single-end,51,51 bp,ALL,Acute lymphoblastic leukemia,PDX,BCP-ALL pediatric,Single-cell,NA,0,0,0,0,0,0,1,1,0,0,0,0,1,B/Plasma cell,Undecided,BCP-ALL pediatric,Malignant cell
SRR3654930,single-cell RNA-seq M3022-23 treated mrd18,GSM2195119,Public on Dec 06 2016,Jun 09 2016,May 15 2019,SRA,1,PDX Sample ALL-199,Homo sapiens,9606,patient: BCP-ALL pediatric__mouse id: NOD scid gamma__cell type: PDX cell__treatment: VCR & Cyclo treatment,human patient cells are grown as patient-derived xenograft cells in immunodeficient NOD scid gamma mice and re-isolated from bone marrow,total RNA,"cDNA synthesis protocol: cells were loaded on the 10-17 μm mRNA-seq IFC (Fluidigm) with ERCC spike-in controls. Cell lysis, reverse transcription and pre-amplification of cDNA was done on-chip using the SMARTer Ultra Low RNA Kit for C1 (Clontech).__0.2-1 ng of pre-amplified cDNA was used as input for tagmentation by the Nextera XT Sample Preparation Kit (Illumina), where amplification was performed for 12-14 PCR cycles.__Cells were isolated from the murine bone marrow, enriched by a MACS step and sorted for the population of interest. All steps were performed at 4°C.",mrd18__processed data file: ALL199_MRD_counts.txt,"Sequencing reads were demultiplexed from the Nextera (i5 and i7) indices using deML (Renaud 2014, Bioinformatics)__Demultiplexed reads were aligned to the human genome (hg19) and ERCC reference using NextGenMap (Sedlazeck et al., 2013)__Count data was generated from mapped reads using featureCounts (Liao et al., 2014) on ENSEMBL gene models (GRCh38.74)__Genome_build: hg19__Supplementary_files_format_and_content: [.txt] processed data files are text files with count data, where columns equal to samples and rows equal to genes",GPL18460,"Christoph,,Ziegenhain",ziegenhain@bio.lmu.de,Anthropology & Human genomics,Department Biology II,Ludwig-Maximilians University Munich,Großhaderner Str. 2,Martinsried,Bavaria,82152,Germany,Illumina HiSeq 1500,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN05220158__SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX1835252,NONE,GSE83142,0,RNA-Seq,PRJNA325123,SAMN05220158,PDX cell,GEO,public,SRX1835252,GSM2195119,Illumina HiSeq 1500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,BCP-ALL pediatric,ILLUMINA,GSM2195119,PDX Sample ALL-199,SRP076334,NOD scid gamma,VCR & Cyclo treatment,NA,single-end,51,51 bp,ALL,Acute lymphoblastic leukemia,PDX,BCP-ALL pediatric,Single-cell,NA,0,0,0,0,0,0,1,1,0,0,0,0,0,B/Plasma cell,Undecided,BCP-ALL pediatric,Malignant cell
SRR3654931,single-cell RNA-seq M3022-23 treated mrd19,GSM2195120,Public on Dec 06 2016,Jun 09 2016,May 15 2019,SRA,1,PDX Sample ALL-199,Homo sapiens,9606,patient: BCP-ALL pediatric__mouse id: NOD scid gamma__cell type: PDX cell__treatment: VCR & Cyclo treatment,human patient cells are grown as patient-derived xenograft cells in immunodeficient NOD scid gamma mice and re-isolated from bone marrow,total RNA,"cDNA synthesis protocol: cells were loaded on the 10-17 μm mRNA-seq IFC (Fluidigm) with ERCC spike-in controls. Cell lysis, reverse transcription and pre-amplification of cDNA was done on-chip using the SMARTer Ultra Low RNA Kit for C1 (Clontech).__0.2-1 ng of pre-amplified cDNA was used as input for tagmentation by the Nextera XT Sample Preparation Kit (Illumina), where amplification was performed for 12-14 PCR cycles.__Cells were isolated from the murine bone marrow, enriched by a MACS step and sorted for the population of interest. All steps were performed at 4°C.",mrd19__processed data file: ALL199_MRD_counts.txt,"Sequencing reads were demultiplexed from the Nextera (i5 and i7) indices using deML (Renaud 2014, Bioinformatics)__Demultiplexed reads were aligned to the human genome (hg19) and ERCC reference using NextGenMap (Sedlazeck et al., 2013)__Count data was generated from mapped reads using featureCounts (Liao et al., 2014) on ENSEMBL gene models (GRCh38.74)__Genome_build: hg19__Supplementary_files_format_and_content: [.txt] processed data files are text files with count data, where columns equal to samples and rows equal to genes",GPL18460,"Christoph,,Ziegenhain",ziegenhain@bio.lmu.de,Anthropology & Human genomics,Department Biology II,Ludwig-Maximilians University Munich,Großhaderner Str. 2,Martinsried,Bavaria,82152,Germany,Illumina HiSeq 1500,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN05220159__SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX1835253,NONE,GSE83142,0,RNA-Seq,PRJNA325123,SAMN05220159,PDX cell,GEO,public,SRX1835253,GSM2195120,Illumina HiSeq 1500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,BCP-ALL pediatric,ILLUMINA,GSM2195120,PDX Sample ALL-199,SRP076334,NOD scid gamma,VCR & Cyclo treatment,NA,single-end,51,51 bp,ALL,Acute lymphoblastic leukemia,PDX,BCP-ALL pediatric,Single-cell,NA,0,0,0,0,0,0,1,1,0,0,0,0,0,B/Plasma cell,Undecided,BCP-ALL pediatric,Malignant cell
SRR3654932,single-cell RNA-seq M3022-23 treated mrd2,GSM2195121,Public on Dec 06 2016,Jun 09 2016,May 15 2019,SRA,1,PDX Sample ALL-199,Homo sapiens,9606,patient: BCP-ALL pediatric__mouse id: NOD scid gamma__cell type: PDX cell__treatment: VCR & Cyclo treatment,human patient cells are grown as patient-derived xenograft cells in immunodeficient NOD scid gamma mice and re-isolated from bone marrow,total RNA,"cDNA synthesis protocol: cells were loaded on the 10-17 μm mRNA-seq IFC (Fluidigm) with ERCC spike-in controls. Cell lysis, reverse transcription and pre-amplification of cDNA was done on-chip using the SMARTer Ultra Low RNA Kit for C1 (Clontech).__0.2-1 ng of pre-amplified cDNA was used as input for tagmentation by the Nextera XT Sample Preparation Kit (Illumina), where amplification was performed for 12-14 PCR cycles.__Cells were isolated from the murine bone marrow, enriched by a MACS step and sorted for the population of interest. All steps were performed at 4°C.",mrd2__processed data file: ALL199_MRD_counts.txt,"Sequencing reads were demultiplexed from the Nextera (i5 and i7) indices using deML (Renaud 2014, Bioinformatics)__Demultiplexed reads were aligned to the human genome (hg19) and ERCC reference using NextGenMap (Sedlazeck et al., 2013)__Count data was generated from mapped reads using featureCounts (Liao et al., 2014) on ENSEMBL gene models (GRCh38.74)__Genome_build: hg19__Supplementary_files_format_and_content: [.txt] processed data files are text files with count data, where columns equal to samples and rows equal to genes",GPL18460,"Christoph,,Ziegenhain",ziegenhain@bio.lmu.de,Anthropology & Human genomics,Department Biology II,Ludwig-Maximilians University Munich,Großhaderner Str. 2,Martinsried,Bavaria,82152,Germany,Illumina HiSeq 1500,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN05220160__SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX1835254,NONE,GSE83142,0,RNA-Seq,PRJNA325123,SAMN05220160,PDX cell,GEO,public,SRX1835254,GSM2195121,Illumina HiSeq 1500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,BCP-ALL pediatric,ILLUMINA,GSM2195121,PDX Sample ALL-199,SRP076334,NOD scid gamma,VCR & Cyclo treatment,NA,single-end,51,51 bp,ALL,Acute lymphoblastic leukemia,PDX,BCP-ALL pediatric,Single-cell,NA,0,0,0,0,0,0,1,1,0,0,0,0,1,B/Plasma cell,Undecided,BCP-ALL pediatric,Malignant cell
SRR3654933,single-cell RNA-seq M3022-23 treated mrd20,GSM2195122,Public on Dec 06 2016,Jun 09 2016,May 15 2019,SRA,1,PDX Sample ALL-199,Homo sapiens,9606,patient: BCP-ALL pediatric__mouse id: NOD scid gamma__cell type: PDX cell__treatment: VCR & Cyclo treatment,human patient cells are grown as patient-derived xenograft cells in immunodeficient NOD scid gamma mice and re-isolated from bone marrow,total RNA,"cDNA synthesis protocol: cells were loaded on the 10-17 μm mRNA-seq IFC (Fluidigm) with ERCC spike-in controls. Cell lysis, reverse transcription and pre-amplification of cDNA was done on-chip using the SMARTer Ultra Low RNA Kit for C1 (Clontech).__0.2-1 ng of pre-amplified cDNA was used as input for tagmentation by the Nextera XT Sample Preparation Kit (Illumina), where amplification was performed for 12-14 PCR cycles.__Cells were isolated from the murine bone marrow, enriched by a MACS step and sorted for the population of interest. All steps were performed at 4°C.",mrd20__processed data file: ALL199_MRD_counts.txt,"Sequencing reads were demultiplexed from the Nextera (i5 and i7) indices using deML (Renaud 2014, Bioinformatics)__Demultiplexed reads were aligned to the human genome (hg19) and ERCC reference using NextGenMap (Sedlazeck et al., 2013)__Count data was generated from mapped reads using featureCounts (Liao et al., 2014) on ENSEMBL gene models (GRCh38.74)__Genome_build: hg19__Supplementary_files_format_and_content: [.txt] processed data files are text files with count data, where columns equal to samples and rows equal to genes",GPL18460,"Christoph,,Ziegenhain",ziegenhain@bio.lmu.de,Anthropology & Human genomics,Department Biology II,Ludwig-Maximilians University Munich,Großhaderner Str. 2,Martinsried,Bavaria,82152,Germany,Illumina HiSeq 1500,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN05220161__SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX1835255,NONE,GSE83142,0,RNA-Seq,PRJNA325123,SAMN05220161,PDX cell,GEO,public,SRX1835255,GSM2195122,Illumina HiSeq 1500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,BCP-ALL pediatric,ILLUMINA,GSM2195122,PDX Sample ALL-199,SRP076334,NOD scid gamma,VCR & Cyclo treatment,NA,single-end,51,51 bp,ALL,Acute lymphoblastic leukemia,PDX,BCP-ALL pediatric,Single-cell,NA,0,0,0,0,0,0,1,1,0,0,0,0,0,B/Plasma cell,Undecided,BCP-ALL pediatric,Malignant cell
SRR3654934,single-cell RNA-seq M3022-23 treated mrd25,GSM2195123,Public on Dec 06 2016,Jun 09 2016,May 15 2019,SRA,1,PDX Sample ALL-199,Homo sapiens,9606,patient: BCP-ALL pediatric__mouse id: NOD scid gamma__cell type: PDX cell__treatment: VCR & Cyclo treatment,human patient cells are grown as patient-derived xenograft cells in immunodeficient NOD scid gamma mice and re-isolated from bone marrow,total RNA,"cDNA synthesis protocol: cells were loaded on the 10-17 μm mRNA-seq IFC (Fluidigm) with ERCC spike-in controls. Cell lysis, reverse transcription and pre-amplification of cDNA was done on-chip using the SMARTer Ultra Low RNA Kit for C1 (Clontech).__0.2-1 ng of pre-amplified cDNA was used as input for tagmentation by the Nextera XT Sample Preparation Kit (Illumina), where amplification was performed for 12-14 PCR cycles.__Cells were isolated from the murine bone marrow, enriched by a MACS step and sorted for the population of interest. All steps were performed at 4°C.",mrd25__processed data file: ALL199_MRD_counts.txt,"Sequencing reads were demultiplexed from the Nextera (i5 and i7) indices using deML (Renaud 2014, Bioinformatics)__Demultiplexed reads were aligned to the human genome (hg19) and ERCC reference using NextGenMap (Sedlazeck et al., 2013)__Count data was generated from mapped reads using featureCounts (Liao et al., 2014) on ENSEMBL gene models (GRCh38.74)__Genome_build: hg19__Supplementary_files_format_and_content: [.txt] processed data files are text files with count data, where columns equal to samples and rows equal to genes",GPL18460,"Christoph,,Ziegenhain",ziegenhain@bio.lmu.de,Anthropology & Human genomics,Department Biology II,Ludwig-Maximilians University Munich,Großhaderner Str. 2,Martinsried,Bavaria,82152,Germany,Illumina HiSeq 1500,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN05220162__SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX1835256,NONE,GSE83142,0,RNA-Seq,PRJNA325123,SAMN05220162,PDX cell,GEO,public,SRX1835256,GSM2195123,Illumina HiSeq 1500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,BCP-ALL pediatric,ILLUMINA,GSM2195123,PDX Sample ALL-199,SRP076334,NOD scid gamma,VCR & Cyclo treatment,NA,single-end,51,51 bp,ALL,Acute lymphoblastic leukemia,PDX,BCP-ALL pediatric,Single-cell,NA,4,0,0,0,0,0,1,0,0,0,0,0,1,B/Plasma cell,Clear,BCP-ALL pediatric,Malignant cell
SRR3654935,single-cell RNA-seq M3022-23 treated mrd26,GSM2195124,Public on Dec 06 2016,Jun 09 2016,May 15 2019,SRA,1,PDX Sample ALL-199,Homo sapiens,9606,patient: BCP-ALL pediatric__mouse id: NOD scid gamma__cell type: PDX cell__treatment: VCR & Cyclo treatment,human patient cells are grown as patient-derived xenograft cells in immunodeficient NOD scid gamma mice and re-isolated from bone marrow,total RNA,"cDNA synthesis protocol: cells were loaded on the 10-17 μm mRNA-seq IFC (Fluidigm) with ERCC spike-in controls. Cell lysis, reverse transcription and pre-amplification of cDNA was done on-chip using the SMARTer Ultra Low RNA Kit for C1 (Clontech).__0.2-1 ng of pre-amplified cDNA was used as input for tagmentation by the Nextera XT Sample Preparation Kit (Illumina), where amplification was performed for 12-14 PCR cycles.__Cells were isolated from the murine bone marrow, enriched by a MACS step and sorted for the population of interest. All steps were performed at 4°C.",mrd26__processed data file: ALL199_MRD_counts.txt,"Sequencing reads were demultiplexed from the Nextera (i5 and i7) indices using deML (Renaud 2014, Bioinformatics)__Demultiplexed reads were aligned to the human genome (hg19) and ERCC reference using NextGenMap (Sedlazeck et al., 2013)__Count data was generated from mapped reads using featureCounts (Liao et al., 2014) on ENSEMBL gene models (GRCh38.74)__Genome_build: hg19__Supplementary_files_format_and_content: [.txt] processed data files are text files with count data, where columns equal to samples and rows equal to genes",GPL18460,"Christoph,,Ziegenhain",ziegenhain@bio.lmu.de,Anthropology & Human genomics,Department Biology II,Ludwig-Maximilians University Munich,Großhaderner Str. 2,Martinsried,Bavaria,82152,Germany,Illumina HiSeq 1500,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN05220163__SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX1835257,NONE,GSE83142,0,RNA-Seq,PRJNA325123,SAMN05220163,PDX cell,GEO,public,SRX1835257,GSM2195124,Illumina HiSeq 1500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,BCP-ALL pediatric,ILLUMINA,GSM2195124,PDX Sample ALL-199,SRP076334,NOD scid gamma,VCR & Cyclo treatment,NA,single-end,51,51 bp,ALL,Acute lymphoblastic leukemia,PDX,BCP-ALL pediatric,Single-cell,NA,3,1,0,0,0,0,1,0,0,0,0,0,0,B/Plasma cell,Clear,BCP-ALL pediatric,Malignant cell
SRR3654936,single-cell RNA-seq M3022-23 treated mrd27,GSM2195125,Public on Dec 06 2016,Jun 09 2016,May 15 2019,SRA,1,PDX Sample ALL-199,Homo sapiens,9606,patient: BCP-ALL pediatric__mouse id: NOD scid gamma__cell type: PDX cell__treatment: VCR & Cyclo treatment,human patient cells are grown as patient-derived xenograft cells in immunodeficient NOD scid gamma mice and re-isolated from bone marrow,total RNA,"cDNA synthesis protocol: cells were loaded on the 10-17 μm mRNA-seq IFC (Fluidigm) with ERCC spike-in controls. Cell lysis, reverse transcription and pre-amplification of cDNA was done on-chip using the SMARTer Ultra Low RNA Kit for C1 (Clontech).__0.2-1 ng of pre-amplified cDNA was used as input for tagmentation by the Nextera XT Sample Preparation Kit (Illumina), where amplification was performed for 12-14 PCR cycles.__Cells were isolated from the murine bone marrow, enriched by a MACS step and sorted for the population of interest. All steps were performed at 4°C.",mrd27__processed data file: ALL199_MRD_counts.txt,"Sequencing reads were demultiplexed from the Nextera (i5 and i7) indices using deML (Renaud 2014, Bioinformatics)__Demultiplexed reads were aligned to the human genome (hg19) and ERCC reference using NextGenMap (Sedlazeck et al., 2013)__Count data was generated from mapped reads using featureCounts (Liao et al., 2014) on ENSEMBL gene models (GRCh38.74)__Genome_build: hg19__Supplementary_files_format_and_content: [.txt] processed data files are text files with count data, where columns equal to samples and rows equal to genes",GPL18460,"Christoph,,Ziegenhain",ziegenhain@bio.lmu.de,Anthropology & Human genomics,Department Biology II,Ludwig-Maximilians University Munich,Großhaderner Str. 2,Martinsried,Bavaria,82152,Germany,Illumina HiSeq 1500,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN05220164__SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX1835258,NONE,GSE83142,0,RNA-Seq,PRJNA325123,SAMN05220164,PDX cell,GEO,public,SRX1835258,GSM2195125,Illumina HiSeq 1500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,BCP-ALL pediatric,ILLUMINA,GSM2195125,PDX Sample ALL-199,SRP076334,NOD scid gamma,VCR & Cyclo treatment,NA,single-end,51,51 bp,ALL,Acute lymphoblastic leukemia,PDX,BCP-ALL pediatric,Single-cell,NA,4,0,0,0,0,0,1,1,1,0,0,0,1,B/Plasma cell,Clear,BCP-ALL pediatric,Malignant cell
